domain,political_label,NG_score,diversity,diversity_qn,partisanship_mean,partisanship_median,broadcasters_gini_all,broadcasters_gini_left,broadcasters_gini_right,broadcasters_gini_minima,broadcasters_inequality_all,broadcasters_inequality_left,broadcasters_inequality_right,broadcasters_inequality_minima,article_gini_all,article_gini_left,article_gini_right,article_gini_minima,article_inequality_all,article_inequality_left,article_inequality_right,article_inequality_minima,centrality_degree_all,centrality_degree_left,centrality_degree_right,centrality_degree_minima,centrality_eigen-vector_all,centrality_eigen-vector_left,centrality_eigen-vector_right,centrality_eigen-vector_minima,centrality_page-rank_all,centrality_page-rank_left,centrality_page-rank_right,centrality_page-rank_minima,centrality_harmonic_all,centrality_harmonic_left,centrality_harmonic_right,centrality_harmonic_minima,centrality_closeness_all,centrality_closeness_left,centrality_closeness_right,centrality_closeness_minima,centrality_betweenness_all,centrality_betweenness_left,centrality_betweenness_right,centrality_betweenness_minima,broadcasts_num_all,broadcasts_num_left,broadcasts_num_right,broadcasts_num-log_all,broadcasts_num-log_left,broadcasts_num-log_right,broadcasters_num_all,broadcasters_num_left,broadcasters_num_right,broadcasters_num-log_all,broadcasters_num-log_left,broadcasters_num-log_right,broadcasts_prop-left,broadcasts_prop-right,broadcasters_prop-left,broadcasters_prop-right
washingtontimes.com,right,69.5,0.1397446843587149,0.3529153872379366,0.317942114163913,0.4649014778325123,0.649435787388305,0.3660158460667798,0.6563908544892579,0.3660158460667798,0.9659027809933352,0.5745198959543972,0.9634810124395315,0.5745198959543972,0.5245655812391051,0.5133850815009245,0.5117184917817384,0.5117184917817384,0.5245655812391051,0.5133850815009245,0.5117184917817384,0.5117184917817384,0.5063945578231293,0.9856991525423728,0.9856991525423728,0.9856991525423728,0.0383217840790464,0.0383325676399449,0.0383225624592789,0.0383225624592789,0.0009117506868531,0.001046003520874,0.0010427177214142,0.0010427177214142,1874.5,1874.5,1874.5,1874.5,0.5064981439050816,0.9859007832898172,0.9859007832898172,0.9859007832898172,0.0004258806224273,0.0016268933000495,0.0016144434839051,0.0016144434839051,3834,248.0,3579.0,8.251663923605589,5.513428746164983,8.182838710766026,633,114.0,516.0,6.450470422144176,4.736198448394496,6.246106765481563,0.0646844027125717,0.9334898278560252,0.1800947867298578,0.8151658767772512
newsweek.com,left,100.0,0.2178718960036443,0.8224801167636995,-0.1525182387125742,-0.3343495934959349,0.5030552674906381,0.5193495982645527,0.4197581943859475,0.4197581943859475,0.706453068205116,0.7104142816823281,0.5761664563223633,0.5761664563223633,0.5584302171496965,0.5706112557709035,0.4826585853611216,0.4826585853611216,0.5584302171496965,0.5706112557709035,0.4826585853611216,0.4826585853611216,0.513469387755102,0.9994703389830508,0.9994703389830508,0.9994703389830508,0.0385775482767593,0.0385890025699218,0.0385781028840331,0.0385781028840331,0.000925616753714,0.0010618769361144,0.0010585684941451,0.0010585684941451,1887.5,1887.5,1887.5,1887.5,0.5134695318042516,0.9994706193753308,0.9994706193753308,0.9994706193753308,0.0004532817802928,0.0017307544144082,0.0017183687738619,0.0017183687738619,4456,3339.0,1115.0,8.40200678160712,8.113426639943654,7.016609683894219,1037,674.0,362.0,6.944087208229528,6.513230110912307,5.891644211825772,0.749326750448833,0.2502244165170557,0.6499517839922855,0.3490838958534233
msnbc.com,left,49.5,0.1113885422823488,0.3156116573845443,-0.3595478886938563,-0.4583333333333333,0.672187066752687,0.6279709164414071,0.8469909348668185,0.6279709164414071,0.9310949901683396,0.8147263670550452,0.9831386537136696,0.8147263670550452,0.8072443050898502,0.7993187803248843,0.6905564806875478,0.6905564806875478,0.8072443050898502,0.7993187803248843,0.6905564806875478,0.6905564806875478,0.5034013605442177,0.9798728813559322,0.9798728813559322,0.9798728813559322,0.0382109788993505,0.0382347823084491,0.0382115080715853,0.0382115080715853,0.0009060226306179,0.0010390322501584,0.0010361835158546,0.0010361835158546,1869.0,1869.0,1869.0,1869.0,0.5036053715359456,0.980269989615784,0.980269989615784,0.980269989615784,0.0004137885780527,0.0015757323348549,0.0015686937203304,0.0015686937203304,6648,5653.0,982.0,8.802071336535285,8.63994165667529,6.889591308354466,789,684.0,102.0,6.670766320845874,6.52795791762255,4.624972813284271,0.8503309265944645,0.1477135980746089,0.8669201520912547,0.1292775665399239
cnn.com,left,80.0,0.2093435991030225,0.8026055558488533,-0.1532320861705946,-0.3076923076923077,0.6604890606120989,0.6364852948712403,0.6000263168908972,0.6000263168908972,0.8298357037521592,0.8036725994221143,0.7836980640387794,0.7836980640387794,0.629722348140366,0.6155967079205594,0.5828680722711066,0.5828680722711066,0.629722348140366,0.6155967079205594,0.5828680722711066,0.5828680722711066,0.5137414965986394,1.0,1.0,1.0,0.038587156055715,0.0385986365764732,0.0385877112107935,0.0385877112107935,0.0009261393933441,0.0010624751254833,0.001059165595038,0.001059165595038,1888.0,1888.0,1888.0,1888.0,0.5137414965986394,1.0,1.0,1.0,0.0004543675029931,0.0017348691461175,0.0017224837009929,0.0017224837009929,28616,23938.0,4619.0,10.261721280938854,10.083222433433315,8.437933510430605,2047,1319.0,719.0,7.624130585661289,7.1846291527173145,6.577861357721047,0.836525020967291,0.1614131954151523,0.6443575964826576,0.3512457254518808
politifact.com,left,100.0,0.1833523537966928,0.4707276139968342,-0.2433476436085815,-0.4,0.5264148933503773,0.5691896632186797,0.2670487948265726,0.2670487948265726,0.8976954397967296,0.8994967352283025,0.2899350649350649,0.2899350649350649,0.4209898975745262,0.4222667870642689,0.2441060393623098,0.2441060393623098,0.4209898975745262,0.4222667870642689,0.2441060393623098,0.2441060393623098,0.4704761904761904,0.9157838983050848,0.9157838983050848,0.9157838983050848,0.0366287231535881,0.0366444651287636,0.0366292336498471,0.0366292336498471,0.000847000901619,0.0009715741889666,0.00096866891988,0.00096866891988,1808.5,1808.5,1808.5,1808.5,0.4738368078056821,0.922325354176844,0.922325354176844,0.922325354176844,0.0003297793542684,0.0012590249010888,0.0012502757548165,0.0012502757548165,1023,859.0,162.0,6.930494765951626,6.755768921984255,5.087596335232384,312,227.0,84.0,5.7430031878094825,5.424950017481403,4.430816798843313,0.8396871945259042,0.158357771260997,0.7275641025641025,0.2692307692307692
wsj.com,left,100.0,0.2254825542004842,0.7705264727681091,-0.0472107889675143,-0.1381818181818181,0.6651123951928494,0.548836359132167,0.7222214465114298,0.548836359132167,0.9529291021939028,0.721927137498188,0.9560249141056224,0.721927137498188,0.7021247573161122,0.6551182223823553,0.6941910134948326,0.6551182223823553,0.7021247573161122,0.6551182223823553,0.6941910134948326,0.6551182223823553,0.5137414965986394,1.0,1.0,1.0,0.038587156055715,0.0385986365764732,0.0385877112107935,0.0385877112107935,0.0009261393933441,0.0010624751254833,0.001059165595038,0.001059165595038,1888.0,1888.0,1888.0,1888.0,0.5137414965986394,1.0,1.0,1.0,0.0004543675029931,0.0017348691461175,0.0017224837009929,0.0017224837009929,13166,4697.0,8450.0,9.485393028027822,8.454679286026995,9.04192172035122,1513,813.0,695.0,7.321849713788356,6.70073110954781,6.543911845564792,0.3567522406197782,0.6418046483366247,0.5373430270984798,0.4593522802379379
goodmorningamerica.com,left,82.5,0.1200522855398704,0.503820783641668,-0.2928067187839303,-0.3905228758169934,0.4540900060464715,0.4634336503976298,0.4044059795436664,0.4044059795436664,0.5844653304463879,0.5981882989686207,0.470967741935484,0.470967741935484,0.7141053725164896,0.6939654201396711,0.3673747636011787,0.3673747636011787,0.7141053725164896,0.6939654201396711,0.3673747636011787,0.3673747636011787,0.419047619047619,0.815677966101695,0.815677966101695,0.815677966101695,0.0338769187639612,0.0339138382889932,0.0338775838146988,0.0338775838146988,0.0007555566059231,0.000866214016633,0.0008640693967742,0.0008640693967742,1714.0,1714.0,1714.0,1714.0,0.4337853066092269,0.8443649373881932,0.8443649373881932,0.8443649373881932,0.0002191410857053,0.0008331777604796,0.0008308760288357,0.0008308760288357,454,371.0,82.0,6.118097198041348,5.916202062607435,4.406719247264253,153,121.0,31.0,5.030437921392435,4.795790545596741,3.4339872044851463,0.8171806167400881,0.1806167400881057,0.7908496732026143,0.2026143790849673
huffpost.com,left,87.5,0.1702616819854353,0.4448781340792776,-0.2669205725236902,-0.4137931034482758,0.6518545499408107,0.6428546808631729,0.5960240656443329,0.5960240656443329,0.8225929283857777,0.8075694123668526,0.8286165740389244,0.8075694123668526,0.8937021255437163,0.8828035288080912,0.7011337640702315,0.7011337640702315,0.8937021255437163,0.8828035288080912,0.7011337640702315,0.7011337640702315,0.513469387755102,0.9994703389830508,0.9994703389830508,0.9994703389830508,0.0385790428220844,0.038590524912178,0.0385795974970772,0.0385795974970772,0.0009255864013538,0.0010618419866798,0.0010585342030774,0.0010585342030774,1887.5,1887.5,1887.5,1887.5,0.5134695318042516,0.9994706193753308,0.9994706193753308,0.9994706193753308,0.0004531020528007,0.0017300572581433,0.0017176877895677,0.0017176877895677,13519,11870.0,1634.0,9.511851382364403,9.381769487603714,7.3987862754199485,1385,1051.0,331.0,7.233455418621439,6.957497370876951,5.802118375377063,0.8780235224498854,0.1208669280272209,0.7588447653429603,0.2389891696750902
nytimes.com,left,87.5,0.2076223471410513,0.7482172912133589,-0.1656864997883827,-0.3157894736842105,0.7023434549749971,0.6616065542324371,0.7322447263298059,0.6616065542324371,0.8607583224309207,0.8016876454966273,0.9524925592187136,0.8016876454966273,0.6974869779897214,0.6957851733109803,0.5065085468286958,0.5065085468286958,0.6974869779897214,0.6957851733109803,0.5065085468286958,0.5065085468286958,0.5137414965986394,1.0,1.0,1.0,0.038587156055715,0.0385986365764732,0.0385877112107935,0.0385877112107935,0.0009261393933441,0.0010624751254833,0.001059165595038,0.001059165595038,1888.0,1888.0,1888.0,1888.0,0.5137414965986394,1.0,1.0,1.0,0.0004543675029931,0.0017348691461175,0.0017224837009929,0.0017224837009929,49839,40650.0,9120.0,10.816553089054588,10.612754114975957,9.118225083068378,2221,1462.0,751.0,7.7057128238944275,7.2875606403097235,6.621405651764134,0.8156263167399025,0.1829892253054836,0.6582620441242684,0.3381359747861324
thehill.com,left,100.0,0.2422570571145922,0.7306939095316715,-0.0679040229545366,-0.2222222222222222,0.5944626889864398,0.6146542829461727,0.5597427886253465,0.5597427886253465,0.8342466117657865,0.8410631863446206,0.8128404291639746,0.8128404291639746,0.5023625195385417,0.5231996447328618,0.4356868871608324,0.4356868871608324,0.5023625195385417,0.5231996447328618,0.4356868871608324,0.4356868871608324,0.5137414965986394,1.0,1.0,1.0,0.038587156055715,0.0385986365764732,0.0385877112107935,0.0385877112107935,0.0009261393933441,0.0010624751254833,0.001059165595038,0.001059165595038,1888.0,1888.0,1888.0,1888.0,0.5137414965986394,1.0,1.0,1.0,0.0004543675029931,0.0017348691461175,0.0017224837009929,0.0017224837009929,9309,5741.0,3559.0,9.13873695311649,8.655388690167637,8.177234885510194,1403,797.0,602.0,7.246368080102461,6.680854678790215,6.400257445308821,0.61671500698249,0.382318186701042,0.5680684248039914,0.4290805416963649
